"Numero"	"Localisation"	"cate_fonc"	"cate_typo"	"Description"	"nb_elem"	"Date "	"Provenance"	"Commentaire"	"English_transcrit "	"no_invent"
359	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour SLSS Buddy"	1	"30/07/1971"	"USA"			83
360	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Mousse de rangement"	1	"30/07/1971"	"USA"			84
361	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Mousse de rangement"	1	"30/07/1971"	"USA"			85
362	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot de sangles"	1	"30/07/1971"	"USA"			86
363	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Palette de stockage pour le LRV"	1	"30/07/1971"	"USA"			87
364	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Palette de stockage Quad 3"	1	"30/07/1971"	"USA"			88
365	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Courroie d'attache"	1	"30/07/1971"	"USA"			89
366	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de stockage pour les magazines des caméras"	1	"30/07/1971"	"USA"			91
367	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 1 de palette de rangement pour ALSEP"	1	"30/07/1971"	"USA"			96
368	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 2 de palette de rangement pour ALSEP"	1	"30/07/1971"	"USA"			100
369	"Apollo 15"	"Equipement technique et sanitaire"	"Transport et stockage"	"Système d'attaches et sangles pour la taille "	1	"30/07/1971"	"USA"			116
370	"Apollo 15"	"Objet symbolique"	"Document"	"Portrait de James Irwin"	1	"30/07/1971"	"USA"			10
371	"Apollo 15"	"Objet symbolique"	"Document"	"Bible"	1	"30/07/1971"	"USA"	"Laissée sur le LRV."		11
372	"Apollo 15"	"Objet symbolique"	"Document"	"Microfilm sur la mission Apollo 11"	1	"30/07/1971"	"USA"			12
373	"Apollo 15"	"Objet symbolique"	"Document"	"Document proclamant ""University of Michigan Alumni of the Moon"""	1	"30/07/1971"	"USA"			15
374	"Apollo 15"	"Objet symbolique"	"Drapeau "	"Drapeau USA et armature en aluminium"	1	"30/07/1971"	"USA"			6
375	"Apollo 15"	"Objet symbolique"	"Drapeau "	"Drapeau de l'US Marine Corps"	1	"30/07/1971"	"USA"			8
376	"Apollo 15"	"Objet symbolique"	"Autre"	"Sculpture et plaque Fallen Astronaut"	2	"30/07/1971"	"USA"			7
377	"Apollo 15"	"Objet symbolique"	"Autre"	"Plume de faucon"	1	"30/07/1971"	"USA"			9
378	"Apollo 15"	"Objet symbolique"	"Autre"	"Billet de 2$"	100	"30/07/1971"	"USA"			13
379	"Apollo 15"	"Objet symbolique"	"Autre"	"Kit personnel"	1	"30/07/1971"	"USA"	"Laissée sur le LRV."		14
380	"Luna 18"	"Véhicule spatial"	"Impacteur"	"Atterrisseur pour récupération d'échantillon Ye-8-5"	"Indéterminé"	"11/09/1971"	"URSS"	"Echec de l'atterrissage."		
381	"Luna 20 "	"Véhicule spatial"	"Atterrisseur "	"Etage de descente de l'atterrisseur Ye-8-5"	1	"21/02/1972"	"URSS"	"Récupération d'échantillon, forage à 90cm. "		
382	"Apollo 16"	"Véhicule spatial"	"Astromobile "	"Rover lunaire (LRV)"	1	"21/04/1972"	"USA"			3
383	"Apollo 16"	"Véhicule spatial"	"Atterrisseur "	"Etage de descente du module lunaire habité Orion"	1	"21/04/1972"	"USA"			2
384	"Apollo 16"	"Véhicule spatial"	"Impacteur"	"Etage de montée du module lunaire habité Orion"	"Indéterminé"	"21/04/1972"	"USA"			1
385	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Filtre polarisant"	1	"21/04/1972"	"USA"			23
386	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra Hasselblad "	1	"21/04/1972"	"USA"			24
387	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif caméra 60mm"	2	"21/04/1972"	"USA"			25
388	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Déclencheur électrique pour caméra Hasselblad"	2	"21/04/1972"	"USA"			26
389	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Poignée électrique pour caméra Hasselblad"	2	"21/04/1972"	"USA"			27
390	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Brosse pour les objectifs"	3	"21/04/1972"	"USA"			29
391	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Appareil photo à pile 16mm avec son bloc d'alimentation"	1	"21/04/1972"	"USA"			30
392	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Système pour la caméra de télévision, contrôlée depuis la Terre (GCTA)"	1	"21/04/1972"	"USA"	"Contient la caméra de télévision et ses accessoires "		45
393	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Système de relai de communication (LCRU + accessoires)"	1	"21/04/1972"	"USA"			46
394	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Bâton pour l'appareil photo 16mm"	1	"21/04/1972"	"USA"			47
395	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Adaptateur pour Hasselblad 70mm"	1	"21/04/1972"	"USA"			49
396	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Boucle pour le bâton pour l'appareil photo 16mm"	1	"21/04/1972"	"USA"			50
397	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Gaine pour la boucle"	1	"21/04/1972"	"USA"			51
398	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Parasol pour le GCTA"	1	"21/04/1972"	"USA"			52
399	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Trépied pour caméra de télévision "	1	"21/04/1972"	"USA"			56
400	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Appareil photo à pile 16mm"	1	"21/04/1972"	"USA"			103
401	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif 10mm pour appareil photo à pile"	1	"21/04/1972"	"USA"			104
402	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Poignée électrique pour l'appareil photo à pile"	1	"21/04/1972"	"USA"			105
403	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Bloc d'alimentation pour l'appareil photo 16mm"	1	"21/04/1972"	"USA"			106
404	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Support de télécommande pour l'appareil photo à pile"	1	"21/04/1972"	"USA"			107
405	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra de télévision"	1	"21/04/1972"	"USA"			121
406	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif caméra 500mm"	1	"21/04/1972"	"USA"			122
407	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Bague de visée "	1	"21/04/1972"	"USA"			123
408	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Support pour caméra"	2	"21/04/1972"	"USA"			127
409	"Apollo 16"	"Equipement scientifique"	"Appareil audiovisuel"	"Couverture de protection réseau"	3	"21/04/1972"	"USA"			140
410	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles rétractable"	1	"21/04/1972"	"USA"			28
411	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles rétractable"	1	"21/04/1972"	"USA"			31
412	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Paire de botte lunaire"	2	"21/04/1972"	"USA"			32
413	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Ligne de sureté"	1	"21/04/1972"	"USA"			33
414	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Ensemble PLSS et EVCS"	1	"21/04/1972"	"USA"			34
415	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Ensemble PLSS et EVCS"	1	"21/04/1972"	"USA"			35
416	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Système de support de vie secondaire (SLSS Buddy)"	1	"21/04/1972"	"USA"			38
417	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Système pour l'hydratation intra-combinaison"	4	"21/04/1972"	"USA"			43
418	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Système pour l'alimentation intra-combinaison"	6	"21/04/1972"	"USA"			44
419	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Adaptateur OPS / SRC"	2	"21/04/1972"	"USA"			53
420	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre pour l'ECS avec LiOH"	1	"21/04/1972"	"USA"			54
421	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Sangle pour l'ECS"	1	"21/04/1972"	"USA"			57
422	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Sangle pour le filtre LiOH"	1	"21/04/1972"	"USA"			58
423	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre pour l'ECS avec LiOH"	1	"21/04/1972"	"USA"			70
424	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Vêtement de refroidissement"	1	"21/04/1972"	"USA"			125
425	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Console de contrôle du PLSS (RCU)"	2	"21/04/1972"	"USA"			126
426	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre avec cartouche de LiOH du PLSS"	4	"21/04/1972"	"USA"			130
427	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Batteries pour PLSS"	4	"21/04/1972"	"USA"			131
428	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Ligne de sureté"	1	"21/04/1972"	"USA"			134
429	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles pour la taille, gauche"	1	"21/04/1972"	"USA"			136
430	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles pour la taille, droite"	1	"21/04/1972"	"USA"			137
431	"Apollo 16"	"Equipement scientifique"	"Equipement pour EVA"	"Ligne de sureté"	1	"21/04/1972"	"USA"			139
432	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Station centrale de l'ALSEP"	1	"21/04/1972"	"USA"			22
433	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Adaptateur pour le LGC"	2	"21/04/1972"	"USA"			37
434	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Sangle pour le LCRU"	1	"21/04/1972"	"USA"			41
435	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Support de carte pour LRV"	1	"21/04/1972"	"USA"			48
436	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Ensemble de montage pour le combustible nucléaire du RTG"	1	"21/04/1972"	"USA"			80
437	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Combustible nucléaire"	1	"21/04/1972"	"USA"			81
438	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Capsule pour le combustible"	1	"21/04/1972"	"USA"			82
439	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Détecteur de rayonnement cosmique"	1	"21/04/1972"	"USA"			88
440	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Magnétomètre lunaire portable"	1	"21/04/1972"	"USA"			89
441	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Caméra UV"	1	"21/04/1972"	"USA"			91
442	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Pénètromètre auto-enregistrer"	1	"21/04/1972"	"USA"			93
443	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Tige d'alésage, bas"	2	"21/04/1972"	"USA"			96
444	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Tige d'alésage, haut"	4	"21/04/1972"	"USA"			97
445	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Noyau en Teflon"	1	"21/04/1972"	"USA"			101
446	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Noyau en Teflon"	1	"21/04/1972"	"USA"			102
447	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Sismomètre passif (PSE)"	1	"21/04/1972"	"USA"			108
448	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Sismomètre actif (ASE)"	1	"21/04/1972"	"USA"			109
449	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Appareil de mesure des flux thermiques"	1	"21/04/1972"	"USA"			110
450	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Générateur thermique à radioisotope (RTG)"	1	"21/04/1972"	"USA"			112
451	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Ancre pour le câble de l'ASE"	1	"21/04/1972"	"USA"			114
452	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Magnétomètre de la surface lunaire LSM"	1	"21/04/1972"	"USA"			115
453	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Large base"	1	"21/04/1972"	"USA"			116
454	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Cône .20"	1	"21/04/1972"	"USA"			117
455	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Lot de cône"	1	"21/04/1972"	"USA"			118
456	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Lot de couvercle"	1	"21/04/1972"	"USA"			119
457	"Apollo 16"	"Equipement scientifique"	"Instrument scientifique"	"Cône .5"	1	"21/04/1972"	"USA"			120
458	"Apollo 16"	"Equipement scientifique"	"Outil"	"Transporteur à outils PLSS"	1	"21/04/1972"	"USA"			39
459	"Apollo 16"	"Equipement scientifique"	"Outil"	"Transporteur à outils PLSS"	1	"21/04/1972"	"USA"			40
460	"Apollo 16"	"Equipement scientifique"	"Outil"	"Dispositif en étau pour les mèches de la perceuse"	1	"21/04/1972"	"USA"			68
461	"Apollo 16"	"Equipement scientifique"	"Outil"	"Manche télescopique "	2	"21/04/1972"	"USA"			85
462	"Apollo 16"	"Equipement scientifique"	"Outil"	"Tongs (32inch)"	2	"21/04/1972"	"USA"			86
463	"Apollo 16"	"Equipement scientifique"	"Outil"	"Gnomon"	1	"21/04/1972"	"USA"			87
464	"Apollo 16"	"Equipement scientifique"	"Outil"	"Porte-outil avec outils de géologie lunaire"	1	"21/04/1972"	"USA"			90
465	"Apollo 16"	"Equipement scientifique"	"Outil"	"Perceuse"	1	"21/04/1972"	"USA"			92
466	"Apollo 16"	"Equipement scientifique"	"Outil"	"Porte-accessoire pour le pénètromètre "	1	"21/04/1972"	"USA"			94
467	"Apollo 16"	"Equipement scientifique"	"Outil"	"Râteau pour échantillon lunaire"	1	"21/04/1972"	"USA"			95
468	"Apollo 16"	"Equipement scientifique"	"Outil"	"Mèches solides pour tige d'alésage"	2	"21/04/1972"	"USA"			98
469	"Apollo 16"	"Equipement scientifique"	"Outil"	"Mèche ouverte pour le noyau"	1	"21/04/1972"	"USA"			99
470	"Apollo 16"	"Equipement scientifique"	"Outil"	"Réducteur de noyau"	1	"21/04/1972"	"USA"			100
471	"Apollo 16"	"Equipement scientifique"	"Outil"	"Outil de nivellement pour PSE"	1	"21/04/1972"	"USA"			111
472	"Apollo 16"	"Equipement scientifique"	"Outil"	"Outil de déploiement pour l'ALSEP"	1	"21/04/1972"	"USA"			113
473	"Apollo 16"	"Equipement technique et sanitaire"	"Alimentaire"	"Ration de nourriture scellé"	1	"21/04/1972"	"USA"			142
474	"Apollo 16"	"Equipement technique et sanitaire"	"Alimentaire"	"Ration de nourriture scellé"	1	"21/04/1972"	"USA"			143
475	"Apollo 16"	"Equipement technique et sanitaire"	"Alimentaire"	"Ration de nourriture scellé"	1	"21/04/1972"	"USA"			144
476	"Apollo 16"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Appareil de collecte de déjection"	1	"21/04/1972"	"USA"			9
477	"Apollo 16"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Collecteur d'urine, petit format"	1	"21/04/1972"	"USA"			19
478	"Apollo 16"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Sac vomitoire"	1	"21/04/1972"	"USA"			20
479	"Apollo 16"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Système de récupération d'urine"	1	"21/04/1972"	"USA"			21
480	"Apollo 16"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Hamac"	1	"21/04/1972"	"USA"			62
481	"Apollo 16"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Hamac"	1	"21/04/1972"	"USA"			63
482	"Apollo 16"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Harnais de couchage"	2	"21/04/1972"	"USA"			141
483	"Apollo 16"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Sangle pour l'harnais de couchage"	2	"21/04/1972"	"USA"			145
484	"Apollo 16"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Boîte de mouchoirs"	1	"21/04/1972"	"USA"			10
485	"Apollo 16"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Lingette humide pour le visage"	1	"21/04/1972"	"USA"			18
486	"Apollo 16"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Brosse pour poussière lunaire"	1	"21/04/1972"	"USA"			17
487	"Apollo 16"	"Equipement technique et sanitaire"	"Textile"	"Ensemble de serviette"	1	"21/04/1972"	"USA"			8
488	"Apollo 16"	"Equipement technique et sanitaire"	"Textile"	"Veste (ICG)"	2	"21/04/1972"	"USA"			11
489	"Apollo 16"	"Equipement technique et sanitaire"	"Textile"	"Pantalon (ICG)"	2	"21/04/1972"	"USA"			12
490	"Apollo 16"	"Equipement technique et sanitaire"	"Textile"	"Botte droite (ICG)"	2	"21/04/1972"	"USA"			13
491	"Apollo 16"	"Equipement technique et sanitaire"	"Textile"	"Botte gauche (ICG)"	2	"21/04/1972"	"USA"			14
492	"Apollo 16"	"Equipement technique et sanitaire"	"Textile"	"Serviette, bleu"	2	"21/04/1972"	"USA"			15
493	"Apollo 16"	"Equipement technique et sanitaire"	"Textile"	"Serviette, rouge "	2	"21/04/1972"	"USA"			16
494	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de déchets"	4	"21/04/1972"	"USA"			36
495	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour le casque et la visière LEVA"	1	"21/04/1972"	"USA"			42
496	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac pour le transfert d'équipement"	1	"21/04/1972"	"USA"			55
497	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 1 de palette pour le transport d'équipement"	1	"21/04/1972"	"USA"			59
498	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 2 de palette pour le transport d'équipement"	1	"21/04/1972"	"USA"			60
499	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 4 de palette pour le transport d'équipement"	1	"21/04/1972"	"USA"			61
500	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour SLSS Buddy"	1	"21/04/1972"	"USA"			64
501	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Palette de stockage pour le LRV"	1	"21/04/1972"	"USA"			65
502	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Palette de stockage Quad 3"	1	"21/04/1972"	"USA"			66
503	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Courroie d'attache"	1	"21/04/1972"	"USA"			67
504	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour le système 500mm"	1	"21/04/1972"	"USA"			69
505	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour les tiges d'alésage et leurs noyau"	1	"21/04/1972"	"USA"			71
506	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Couvercle pour le rangement des tiges d'alésage et leurs noyau"	1	"21/04/1972"	"USA"			72
507	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Dispositif de maintien, bas"	1	"21/04/1972"	"USA"			73
508	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Dispositif de maintien, haut"	1	"21/04/1972"	"USA"			74
509	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Couvercle pour le dispositif de maintien"	1	"21/04/1972"	"USA"			75
510	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Entretoise"	1	"21/04/1972"	"USA"			76
511	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Entretoise"	1	"21/04/1972"	"USA"			77
512	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour le parasol du GCTA"	1	"21/04/1972"	"USA"			78
513	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sangle pour le parasol du GCTA"	1	"21/04/1972"	"USA"			79
514	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 1 de palette de rangement pour ALSEP"	1	"21/04/1972"	"USA"			83
515	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 2 de palette de rangement pour ALSEP"	1	"21/04/1972"	"USA"			84
516	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Etagère provisoire pour le rangement"	1	"21/04/1972"	"USA"			124
517	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour les cartouches de LiOH"	4	"21/04/1972"	"USA"			128
518	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement de protection pour le LiOH"	4	"21/04/1972"	"USA"			129
519	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Système d'attaches et sangles pour la taille (LEC)"	1	"21/04/1972"	"USA"			132
520	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de stockage pour le LEC"	1	"21/04/1972"	"USA"			133
521	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de stockage pour la ligne de sureté "	1	"21/04/1972"	"USA"			135
522	"Apollo 16"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sangle"	2	"21/04/1972"	"USA"			138
523	"Apollo 16"	"Objet symbolique"	"Drapeau "	"Drapeau USA et armature en aluminium"	1	"21/04/1972"	"USA"			4
524	"Apollo 16"	"Objet symbolique"	"Document"	"Portrait de famille de Charles Duke"	1	"21/04/1972"	"USA"			5
525	"Apollo 16"	"Objet symbolique"	"Distinction"	"Médaillon pour les 25 ans de l'US Air Force"	1	"21/04/1972"	"USA"			6
526	"Apollo 16"	"Objet symbolique"	"Autre"	"Pince à cravate"	1	"21/04/1972"	"USA"			7
527	"Apollo 16"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale PFS-2"	"Indéterminé"	"29/05/1972"	"USA"			146
528	"Luna 19"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale lourde Ye-8LS"	"Indéterminé"	"03/10/1972"	"URSS"			
529	"Apollo 17"	"Véhicule spatial"	"Astromobile "	"Rover lunaire (LRV)"	1	"11/12/1972"	"USA"			4
530	"Apollo 17"	"Véhicule spatial"	"Atterrisseur "	"Etage de descente du module lunaire habité Challenger"	1	"11/12/1972"	"USA"			2
531	"Apollo 17"	"Véhicule spatial"	"Impacteur"	"Troisième étage de la fusée Saturne V (S-IVB)"	1	"11/12/1972"	"USA"			1
532	"Apollo 17"	"Véhicule spatial"	"Impacteur"	"Etage de montée du module lunaire habité Challenger"	1	"11/12/1972"	"USA"			3
533	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Filtre polarisant"	1	"11/12/1972"	"USA"			32
534	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra Hasselblad"	2	"11/12/1972"	"USA"			33
535	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif caméra 60mm"	2	"11/12/1972"	"USA"			34
536	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Adaptateur pour support d'appareil photo 16mm"	1	"11/12/1972"	"USA"			35
537	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Déclencheur électrique pour caméra Hasselblad"	2	"11/12/1972"	"USA"			36
538	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Poignée électrique pour caméra Hasselblad"	2	"11/12/1972"	"USA"			37
539	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Brosse pour les objectifs"	3	"11/12/1972"	"USA"			39
540	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra de télévision"	1	"11/12/1972"	"USA"			40
541	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif caméra 500mm"	1	"11/12/1972"	"USA"			41
542	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Bague de visée "	1	"11/12/1972"	"USA"			42
543	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Support pour caméra"	2	"11/12/1972"	"USA"			45
