"Numero"	"Localisation"	"cate_fonc"	"cate_typo"	"Description"	"nb_elem"	"Date "	"Provenance"	"Commentaire"	"English_transcrit "	"no_invent"
544	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Système pour la caméra de télévision, contrôlée depuis la Terre (GCTA)"	1	"11/12/1972"	"USA"			79
545	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra de télévision couleur"	1	"11/12/1972"	"USA"			80
546	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Unité de contrôle pour la caméra de télévision"	1	"11/12/1972"	"USA"			81
547	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	" Relai de communication "	1	"11/12/1972"	"USA"			83
548	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Système de relai de communication (LCRU)"	1	"11/12/1972"	"USA"			84
549	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Elément auxiliaire du LCRU"	1	"11/12/1972"	"USA"			85
550	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Batteries pour le LCRU"	2	"11/12/1972"	"USA"			86
551	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Antenne, Hi-gain"	1	"11/12/1972"	"USA"			87
552	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Antenne, Lo-gain"	1	"11/12/1972"	"USA"			88
553	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Ressort pour la nacelle du TCU"	1	"11/12/1972"	"USA"			89
554	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Adaptateur pour Hasselblad 70mm"	2	"11/12/1972"	"USA"			90
555	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Gaine pour la boucle"	1	"11/12/1972"	"USA"			91
556	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Parasol pour le GCTA"	1	"11/12/1972"	"USA"			92
557	"Apollo 17"	"Equipement scientifique"	"Appareil audiovisuel"	"Couverture de protection réseau"	3	"11/12/1972"	"USA"			157
558	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles rétractable"	1	"11/12/1972"	"USA"			38
559	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Console de contrôle du PLSS (RCU)"	2	"11/12/1972"	"USA"			44
560	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Cartouche de LiOH pour les PLSS"	4	"11/12/1972"	"USA"			48
561	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Paire de gants EV"	2	"11/12/1972"	"USA"			49
562	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Paire de botte lunaire"	2	"11/12/1972"	"USA"			50
563	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles pour la taille"	1	"11/12/1972"	"USA"			51
564	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Ligne de remontée"	1	"11/12/1972"	"USA"			52
565	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Ensemble PLSS et EVCS"	1	"11/12/1972"	"USA"			53
566	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système de support de vie (PLSS)"	1	"11/12/1972"	"USA"			54
567	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système de communication extravéhiculaire (EVCS)"	1	"11/12/1972"	"USA"			55
568	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Batteries pour PLSS"	1	"11/12/1972"	"USA"			56
569	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre avec cartouche de LiOH du PLSS"	1	"11/12/1972"	"USA"			57
570	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Couvercle pour le connecteur de gaz"	1	"11/12/1972"	"USA"			58
571	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Couvercle pour le MWC"	1	"11/12/1972"	"USA"			59
572	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Couvercle pour les connecteurs électriques"	1	"11/12/1972"	"USA"			60
573	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Ensemble PLSS et EVCS"	1	"11/12/1972"	"USA"			61
574	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système de support de vie (PLSS)"	1	"11/12/1972"	"USA"			62
575	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système de communication extravéhiculaire (EVCS)"	1	"11/12/1972"	"USA"			63
576	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Batteries pour PLSS"	1	"11/12/1972"	"USA"			64
577	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre avec cartouche de LiOH du PLSS"	1	"11/12/1972"	"USA"			65
578	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Couvercle pour le connecteur de gaz"	1	"11/12/1972"	"USA"			66
579	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Couvercle pour le MWC"	1	"11/12/1972"	"USA"			67
580	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Couvercle pour les connecteurs électriques"	1	"11/12/1972"	"USA"			68
581	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système pour l'hydratation intra-combinaison"	4	"11/12/1972"	"USA"			71
582	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Système de support de vie secondaire (SLSS Buddy)"	1	"11/12/1972"	"USA"			72
583	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Adaptateur OPS / SRC"	2	"11/12/1972"	"USA"			97
584	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre pour l'ECS avec LiOH"	1	"11/12/1972"	"USA"			98
585	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Sangle pour l'ECS"	1	"11/12/1972"	"USA"			99
586	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Sangle pour le filtre LiOH"	1	"11/12/1972"	"USA"			100
587	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre pour l'ECS avec LiOH"	1	"11/12/1972"	"USA"			110
588	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Batteries pour PLSS"	4	"11/12/1972"	"USA"			153
589	"Apollo 17"	"Equipement scientifique"	"Equipement pour EVA"	"Vêtement de refroidissement"	2	"11/12/1972"	"USA"			156
590	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Station centrale de l'ALSEP"	1	"11/12/1972"	"USA"			31
591	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Adaptateur pour le LGC"	2	"11/12/1972"	"USA"			70
592	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Sangle pour le LCRU"	1	"11/12/1972"	"USA"			75
593	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Bâton accessoire pour le LRV"	1	"11/12/1972"	"USA"			93
594	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Boucle pour le support de carte du LRV"	1	"11/12/1972"	"USA"			94
595	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Support de carte du LRV"	1	"11/12/1972"	"USA"			95
596	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Sonde à neutron"	1	"11/12/1972"	"USA"			120
597	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Ensemble de montage pour le combustible nucléaire du RTG"	1	"11/12/1972"	"USA"			121
598	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Combustible nucléaire"	1	"11/12/1972"	"USA"			122
599	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Capsule pour le combustible"	1	"11/12/1972"	"USA"			123
600	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Expérience de mesure du profil sismique lunaire"	1	"11/12/1972"	"USA"			125
601	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Spectromètre de masse lunaire"	1	"11/12/1972"	"USA"			126
602	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Gravimètre de la surface lunaire"	1	"11/12/1972"	"USA"			127
603	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Appareil de mesure des flux thermiques"	1	"11/12/1972"	"USA"			129
604	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Générateur thermique à radioisotope (RTG)"	1	"11/12/1972"	"USA"			130
605	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Appareil pour l'expérience micrométéorite lunaire"	1	"11/12/1972"	"USA"			132
606	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Transmetteur"	1	"11/12/1972"	"USA"			139
607	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Receveur"	1	"11/12/1972"	"USA"			140
608	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Gravimètre traverse"	1	"11/12/1972"	"USA"			141
609	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Tige d'alésage, bas"		"11/12/1972"	"USA"			144
610	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Tige d'alésage, haut"		"11/12/1972"	"USA"			145
611	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Noyau en Teflon"	1	"11/12/1972"	"USA"			151
612	"Apollo 17"	"Equipement scientifique"	"Instrument scientifique"	"Instrument scientifique"	1	"11/12/1972"	"USA"			152
613	"Apollo 17"	"Equipement scientifique"	"Outil"	"Transporteur à outils PLSS"	1	"11/12/1972"	"USA"			73
614	"Apollo 17"	"Equipement scientifique"	"Outil"	"Transporteur à outils PLSS"	1	"11/12/1972"	"USA"			74
615	"Apollo 17"	"Equipement scientifique"	"Outil"	"Kit de réparation pour antenne"	1	"11/12/1972"	"USA"			77
616	"Apollo 17"	"Equipement scientifique"	"Outil"	"Cordon à enfiler"	1	"11/12/1972"	"USA"			78
617	"Apollo 17"	"Equipement scientifique"	"Outil"	"Boucle pour adaptateur"	1	"11/12/1972"	"USA"			96
618	"Apollo 17"	"Equipement scientifique"	"Outil"	"Dispositif en étau pour les mèches de la perceuse"	1	"11/12/1972"	"USA"			108
619	"Apollo 17"	"Equipement scientifique"	"Outil"	"Outil de déploiement pour l'ALSEP"	1	"11/12/1972"	"USA"			131
620	"Apollo 17"	"Equipement scientifique"	"Outil"	"Manche télescopique "	2	"11/12/1972"	"USA"			133
621	"Apollo 17"	"Equipement scientifique"	"Outil"	"Tongs"	2	"11/12/1972"	"USA"			134
622	"Apollo 17"	"Equipement scientifique"	"Outil"	"Gnomon"	1	"11/12/1972"	"USA"			135
623	"Apollo 17"	"Equipement scientifique"	"Outil"	"Pelle pour récupération d'échantillon, large"		"11/12/1972"	"USA"			136
624	"Apollo 17"	"Equipement scientifique"	"Outil"	"Marteau"		"11/12/1972"	"USA"			137
625	"Apollo 17"	"Equipement scientifique"	"Outil"	"Outil d'entraînement"	1	"11/12/1972"	"USA"			138
626	"Apollo 17"	"Equipement scientifique"	"Outil"	"Perceuse"	1	"11/12/1972"	"USA"			142
627	"Apollo 17"	"Equipement scientifique"	"Outil"	"Râteau pour échantillon lunaire"		"11/12/1972"	"USA"			143
628	"Apollo 17"	"Equipement scientifique"	"Outil"	"Mèches solides pour tige d'alésage"	2	"11/12/1972"	"USA"			148
629	"Apollo 17"	"Equipement scientifique"	"Outil"	"Réducteur de noyau"	1	"11/12/1972"	"USA"			149
630	"Apollo 17"	"Equipement scientifique"	"Outil"	"Outil d'échantillonnage"	1	"11/12/1972"	"USA"			150
631	"Apollo 17"	"Equipement technique et sanitaire"	"Alimentaire"	"Ration de nourriture scellé"	1	"11/12/1972"	"USA"			159
632	"Apollo 17"	"Equipement technique et sanitaire"	"Alimentaire"	"Ration de nourriture scellé"	1	"11/12/1972"	"USA"			160
633	"Apollo 17"	"Equipement technique et sanitaire"	"Alimentaire"	"Ration de nourriture scellé"	1	"11/12/1972"	"USA"			161
634	"Apollo 17"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Appareil de collecte de déjection"	2	"11/12/1972"	"USA"			8
635	"Apollo 17"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Collecteur d'urine, petit format"	1	"11/12/1972"	"USA"			23
636	"Apollo 17"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Sac vomitoire"	1	"11/12/1972"	"USA"			24
637	"Apollo 17"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Système de récupération d'urine"	1	"11/12/1972"	"USA"			26
638	"Apollo 17"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Harnais de couchage"		"11/12/1972"	"USA"			17
639	"Apollo 17"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Hamac"	1	"11/12/1972"	"USA"			27
640	"Apollo 17"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Hamac"	1	"11/12/1972"	"USA"			28
641	"Apollo 17"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Sangle pour l'harnais de couchage"	2	"11/12/1972"	"USA"			29
642	"Apollo 17"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Bouchons d'oreilles dans leurs pochette d'emballage"	1	"11/12/1972"	"USA"			30
643	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Boîte de mouchoirs"	1	"11/12/1972"	"USA"			9
644	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Kit personnel pour l'hygiène"	1	"11/12/1972"	"USA"			18
645	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Coupe-ongle"	1	"11/12/1972"	"USA"			19
646	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Savon"	1	"11/12/1972"	"USA"			20
647	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Lingette humide pour le visage"	1	"11/12/1972"	"USA"			21
648	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Pommade"	1	"11/12/1972"	"USA"			22
649	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Brosse pour poussière lunaire"	1	"11/12/1972"	"USA"			16
650	"Apollo 17"	"Equipement technique et sanitaire"	"Produit d'hygiène"	"Bracelet miroir"	2	"11/12/1972"	"USA"			158
651	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Ensemble de serviettes"	1	"11/12/1972"	"USA"			7
652	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Veste (ICG)"	2	"11/12/1972"	"USA"			10
653	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Pantalon (ICG)"	2	"11/12/1972"	"USA"			11
654	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Botte droite (ICG)"	2	"11/12/1972"	"USA"			12
655	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Botte gauche (ICG)"	2	"11/12/1972"	"USA"			13
656	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Serviette, bleu"	2	"11/12/1972"	"USA"			14
657	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Serviette, rouge "	2	"11/12/1972"	"USA"			15
658	"Apollo 17"	"Equipement technique et sanitaire"	"Textile"	"Sous-vêtement"	2	"11/12/1972"	"USA"			155
659	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac pour le transfert d'équipement"	1	"11/12/1972"	"USA"			25
660	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Etagère provisoire pour le rangement"	1	"11/12/1972"	"USA"			43
661	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour les cartouches de LiOH"	4	"11/12/1972"	"USA"			46
662	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement de protection pour le LiOH"	4	"11/12/1972"	"USA"			47
663	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de déchets"	4	"11/12/1972"	"USA"			69
664	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour le casque et la visière LEVA"	1	"11/12/1972"	"USA"			76
665	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Support de rangement pour la caméra de télévision"	1	"11/12/1972"	"USA"			82
666	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 1 de palette pour le transport d'équipement"	1	"11/12/1972"	"USA"			101
667	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 2 de palette pour le transport d'équipement"	1	"11/12/1972"	"USA"			102
668	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 4 de palette pour le transport d'équipement"	1	"11/12/1972"	"USA"			103
669	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour SLSS Buddy"	1	"11/12/1972"	"USA"			104
670	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Palette de stockage pour le LRV"	1	"11/12/1972"	"USA"			105
671	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Palette de stockage Quad 3"	1	"11/12/1972"	"USA"			106
672	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Courroie d'attache"	1	"11/12/1972"	"USA"			107
673	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour le système 500mm"	1	"11/12/1972"	"USA"			109
674	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour les tiges d'alésage et leurs noyau"	1	"11/12/1972"	"USA"			111
675	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Couvercle pour le rangement des tiges d'alésage et leurs noyau"	1	"11/12/1972"	"USA"			112
676	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Dispositif de maintien, bas"	1	"11/12/1972"	"USA"			113
677	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Dispositif de maintien, haut"	1	"11/12/1972"	"USA"			114
678	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Couvercle pour le dispositif de maintien"	1	"11/12/1972"	"USA"			115
679	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Entretoise"	1	"11/12/1972"	"USA"			116
680	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Entretoise"	1	"11/12/1972"	"USA"			117
681	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Rangement pour le parasol du GCTA"	1	"11/12/1972"	"USA"			118
682	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sangle pour le parasol du GCTA"	1	"11/12/1972"	"USA"			119
683	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 1 de palette de rangement pour ALSEP"	1	"11/12/1972"	"USA"			124
684	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 2 de palette de rangement ALSEP"	1	"11/12/1972"	"USA"			128
685	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Module de transport des charges du LSPE"	1	"11/12/1972"	"USA"			146
686	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Module de transport des charges du LSPE"	1	"11/12/1972"	"USA"			147
687	"Apollo 17"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de stockage pour le LEC"	1	"11/12/1972"	"USA"			154
688	"Apollo 17"	"Objet symbolique"	"Drapeau "	"Drapeau USA et armature en aluminium"		"11/12/1972"	"USA"			6
689	"Apollo 17"	"Objet symbolique"	"Autre"	"Bracelet de montre"	2	"11/12/1972"	"USA"			5
690	"Apollo 15"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale PFS-1"	"Indéterminé"	"05/01/1973"	"USA"	"Satellite d'étude des particule et champs."		1
691	"Luna 21"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur pour transport d'astromobile Ye-8"	1	"15/01/1973"	"URSS"	"Trace reliant La sonde Luna 21 avec Lunokhod 2. "		
692	"Luna 21"	"Véhicule spatial"	"Astromobile "	"Véhicule lunaire à roue Lunokhod 2"	1	"15/01/1973"	"URSS"	"Trace reliant La sonde Luna 21 avec Lunokhod 2. "		
693	"Luna 23"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur pour récupération d'échantillon Ye-8-5M"	1	"02/11/1974"	"URSS"	"Dommage lors de l'atterrissage au bras de la foreuse"		
694	"Luna 22"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale lourde Ye-8LS"	"Indéterminé"	"10/11/1974"	"URSS"			
695	"Luna 24 "	"Véhicule spatial"	"Atterrisseur "	"Etage de descente de l'atterrisseur Ye-8-5"	1	"18/08/1976"	"URSS"	"Récupération d'échantillon, forage à 90cm. "		
696	"Explorer 49"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Radio Astronomy Explorer (RAE-B)"	"Indéterminé"	"30/08/1977"	"USA"			
697	"Hagoromo"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Hagoromo"	"Indéterminé"	"18/03/1990"	"Japon"	"Sonde envoyé avec la mission MUSES-A, perte de communication lors de la séparation avec Hilten."		
698	"Hilten"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Hilten"	"Indéterminé"	"10/04/1993"	"Japon"	"Remplace Hagoromo dans le cadre de la mission MUSES-A après son échec de mise en orbite."		
699	"Lunar Prospector"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Prospector"	"Indéterminé"	"31/07/1999"	"USA"			
700	"SMART-1"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale SMART-1"	"Indéterminé"	"03/07/2006"	"ESA"			
701	"Chandrayaan 1"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact MPI"	"Indéterminé"	"14/11/2008"	"Inde"	"La sonde orbitale lié a été identifié en orbite en 2017 par la sonde LRO. "		
702	"Ouna"	"Véhicule spatial"	"Impacteur"	"Microsatellite VSTAR"	"Indéterminé"	"12/02/2009"	"Japon"	"Sonde orbitale de la mission SELENE"		
703	"Okina"	"Véhicule spatial"	"Impacteur"	"Microsatellite RSTAR"	"Indéterminé"	"12/02/2009"	"Japon"	"Sonde orbitale de la mission SELENE"		
704	"Chang'e 1"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Chang'e 1"	"Indéterminé"	"01/03/2009"	"Chine"			
705	"Kaguya"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Kaguya"	"Indéterminé"	"10/06/2009"	"Japon"	"Lanceur de la mission SELENE"		
706	"LCROSS "	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Shepherding Spacecraft (S-S/C)"	"Indéterminé"	"09/10/2009"	"USA"			
707	"LCROSS "	"Véhicule spatial"	"Impacteur"	"Moteur de propulsion LCROSS Centaur"	"Indéterminé"	"09/10/2009"	"USA"	"Centaur est utilisé comme masse pour que S-S/C puisse analyser les particules propulsés à l'impact."		
708	"LADEE"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale modulaire Lunar Atmosphere and Dust Environment Explorer"	"Indéterminé"	"18/04/2012"	"USA"			
709	"GRAIL"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale GRAIL-A"	"Indéterminé"	"17/12/2012"	"USA"	"Sonde A et B à environ 3km l'une de l'autre"		
710	"GRAIL"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale GRAIL-B"	"Indéterminé"	"17/12/2012"	"USA"	"Sonde A et B à environ 3km l'une de l'autre"		
711	"Chang'e 3"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur pour transport d'astromobile chang'e 3"	1	"14/12/2013"	"Chine"	"Trace reliant La sonde chang'e 3 avec Yutu. "		
712	"Chang'e 3"	"Véhicule spatial"	"Astromobile "	"Véhicule lunaire à roue Yutu"	1	"14/12/2013"	"Chine"	"Trace reliant La sonde chang'e 3 avec Yutu. "		
713	"Chang'e 4"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur pour transport d'astromobile chang'e 4"	1	"03/01/2019"	"Chine"	"Trace reliant La sonde chang'e 4 avec Yutu 2. "		
714	"Chang'e 4"	"Véhicule spatial"	"Astromobile "	"Véhicule lunaire à roue Yutu 2"	1	"03/01/2019"	"Chine"	"Trace reliant La sonde chang'e 4 avec Yutu 2. "		
715	"Beresheet"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Beresheet"	"Indéterminé"	"11/04/2019"	"Israël"	"Perte de contact, échec de l'atterrissage."		
716	"Longjiang-2"	"Véhicule spatial"	"Impacteur"	"Microsatellite Longjiang 2"	"Indéterminé"	"31/07/2019"	"Chine"	"Sonde envoyé avec la mission Chang'e 4"		
717	"Chandrayaan 2"	"Véhicule spatial"	"Impacteur"	"Atterrisseur Vikram et astromobile Pragyan"	"Indéterminé"	"07/09/2019"	"Inde"	"Perte de contact, échec de l'atterrissage avec les deux véhicules encore ensemble."		
718	"Chang'e 5"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur pour récupération d'échantillon Chang'e 5"	1	"01/12/2020"	"Chine"	"Récupération d'échantillon, forage à 2m. "		
719	"Chang'e 5-T1"	"Véhicule spatial"	"Impacteur"	"Fusée Longue Marche 3B "	"Indéterminé"	"04/03/2022"	"Chine"	"Impact imprévu avec la Lune."		
720	"Chang'e 5-T1"	"Véhicule spatial"	"Impacteur"	"Sonde 4M (Manfred Memorial Moon Mission)"	"Indéterminé"	"04/03/2022"	"Luxembourg"	"Impact imprévu avec la Lune."		
721	"Hakuto-R M1"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire Hakuto-R et deux astromobile  "	"Indéterminé"	"25/04/2023"	"Japon"	"Panne de carburant qui a causé l'échec d'allunissage. "		
